Title,NetFlix,Genre,Year ,Premiere,Runtime,Language
7 Prisoners,NetFlix Original,Drama,2021,11-Nov-21,1 h 34 min,Portuguese
Red Notice,NetFlix Original,Action comedy,2021,12-Nov-21,1 h 57 min,English
Just Short of Perfect,NetFlix Original,Romantic comedy,2021,18-Nov-21,1 h 34 min,Portuguese
The Princess Switch 3: Romancing the Star,NetFlix Original,Romantic comedy,2021,18-Nov-21,1 h 46 min,English
Dhamaka,NetFlix Original,Action thriller,2021,19-Nov-21,1 h 44 min,Hindi
Love Me Instead,NetFlix Original,Drama,2021,19-Nov-21,2 h 4 min,Turkish
"Tick, Tick... Boom!",NetFlix Original,Musical,2021,19-Nov-21,1 h 55 min,English
Bruised,NetFlix Original,Drama,2021,24-Nov-21,2 h 12 min,English
A Castle for Christmas,NetFlix Original,Romantic comedy,2021,26-Nov-21,1 h 39 min,English
The Power of the Dog,NetFlix Original,Drama,2021,1-Dec-21,2 h 8 min,English
Single All the Way,NetFlix Original,Holiday romantic comedy,2021,2-Dec-21,1 h 41 min,English
The Whole Truth,NetFlix Original,Horror,2021,2-Dec-21,2 h 5 min,Thai
Mixtape,NetFlix Original,Coming-of-age comedy-drama,2021,3-Dec-21,1 h 37 min,English
David and the Elves,NetFlix Original,Fantasy,2021,6-Dec-21,1 h 46 min,Polish
The Claus Family 2,NetFlix Original,Fantasy,2021,7-Dec-21,1 h 37 min,Dutch
Asakusa Kid,NetFlix Original,Drama,2021,9-Dec-21,2 h 3 min,Japanese
Anonymously Yours,NetFlix Original,Romantic comedy,2021,10-Dec-21,1 h 41 min,Spanish
Back to the Outback,NetFlix Original,Animation,2021,10-Dec-21,1 h 35 min,English
The Unforgivable,NetFlix Original,Drama,2021,10-Dec-21,1 h 54 min,English
The Hand of God,NetFlix Original,Drama,2021,15-Dec-21,2 h 10 min,Italian
A California Christmas: City Lights,NetFlix Original,Romantic comedy,2021,16-Dec-21,1 h 30 min,English
A Naija Christmas,NetFlix Original,Romantic comedy,2021,16-Dec-21,2 h 1 min,English
Grumpy Christmas,NetFlix Original,Comedy,2021,21-Dec-21,1 h 27 min,Spanish
1000 Miles from Christmas,NetFlix Original,Christmas film,2021,24-Dec-21,1 h 42 min,Spanish
Don't Look Up,NetFlix Original,Science fiction comedy,2021,24-Dec-21,2 h 18 min,English
Minnal Murali,NetFlix Original,Superhero,2021,24-Dec-21,2 h 39 min,Malayalam
Lulli,NetFlix Original,Comedy,2021,26-Dec-21,1 h 30 min,Portuguese
Hilda and the Mountain King,NetFlix Original,Animation/fantasy,2021,30-Dec-21,1 h 24 min,English
Four to Dinner,NetFlix Original,Romantic comedy,2022,5-Jan-22,1 h 30 min,Italian
The Wasteland,NetFlix Original,Horror,2022,6-Jan-22,1 h 32 min,Spanish
How I Fell in Love with a Gangster,NetFlix Original,Drama,2022,12-Jan-22,2 h 59 min,Polish
Brazen,NetFlix Original,Romantic thriller,2022,13-Jan-22,1 h 36 min,English
Photocopier,NetFlix Original,Coming-of-age drama,2022,13-Jan-22,2 h 10 min,Indonesian
This Is Not a Comedy,NetFlix Original,Comedy drama,2022,14-Jan-22,1 h 45 min,Spanish
The Royal Treatment,NetFlix Original,Romance,2022,20-Jan-22,1 h 37 min,English
Amandla,NetFlix Original,Drama,2022,21-Jan-22,1 h 46 min,English
Munich – The Edge of War,NetFlix Original,Historical drama / thriller,2022,21-Jan-22,2 h 11 min,English
My Father's Violin,NetFlix Original,Drama,2022,21-Jan-22,1 h 52 min,Turkish
Home Team,NetFlix Original,Sports comedy,2022,28-Jan-22,1 h 37 min,English
Looop Lapeta,NetFlix Original,Romantic thriller,2022,4-Feb-22,2 h 11 min,Hindi
Through My Window,NetFlix Original,Drama,2022,4-Feb-22,1 h 53 min,Spanish
The Privilege,NetFlix Original,Horror,2022,9-Feb-22,1 h 47 min,German
Into the Wind,NetFlix Original,Romantic drama,2022,10-Feb-22,1 h 48 min,Polish
Bigbug,NetFlix Original,Science fiction comedy,2022,11-Feb-22,1 h 51 min,French
Love and Leashes,NetFlix Original,Romantic comedy,2022,11-Feb-22,1 h 58 min,Korean
Love Tactics,NetFlix Original,Romantic comedy,2022,11-Feb-22,1 h 38 min,Turkish
Tall Girl 2,NetFlix Original,Teen romantic comedy,2022,11-Feb-22,1 h 41 min,English
Fistful of Vengeance,NetFlix Original,Supernatural martial arts drama,2022,17-Feb-22,1 h 36 min,English
Texas Chainsaw Massacre,NetFlix Original,Slasher,2022,18-Feb-22,1 h 23 min,English
UFO,NetFlix Original,Drama,2022,23-Feb-22,1 h 50 min,Turkish
A Madea Homecoming,NetFlix Original,Comedy,2022,25-Feb-22,1 h 47 min,English
Restless,NetFlix Original,Action thriller,2022,25-Feb-22,1 h 36 min,French
Against the Ice,NetFlix Original,Survival,2022,2-Mar-22,1 h 43 min,English
The Weekend Away,NetFlix Original,Thriller,2022,3-Mar-22,1 h 31 min,English
The Invisible Thread,NetFlix Original,Comedy drama,2022,4-Mar-22,1 h 30 min,Italian
The Adam Project,NetFlix Original,Science fiction,2022,11-Mar-22,1 h 46 min,English
Rescued by Ruby,NetFlix Original,Drama,2022,17-Mar-22,1 h 33 min,English
Black Crab,NetFlix Original,Thriller,2022,18-Mar-22,1 h 54 min,Swedish
Without Saying Goodbye,NetFlix Original,Romantic comedy,2022,18-Mar-22,1 h 36 min,Spanish
Windfall,NetFlix Original,Thriller,2022,18-Mar-22,1 h 32 min,English
In Good Hands,NetFlix Original,Romantic comedy,2022,21-Mar-22,1 h 44 min,Turkish
Love Like the Falling Petals,NetFlix Original,Drama,2022,24-Mar-22,2 h 9 min,Japanese
All Hail,NetFlix Original,Drama,2022,30-Mar-22,1 h 58 min,Spanish
Apollo 10 1?2: A Space Age Childhood,NetFlix Original,Animation,2022,1-Apr-22,1 h 38 min,English
Battle: Freestyle,NetFlix Original,Romantic drama,2022,1-Apr-22,1 h 28 min,Norwegian
The Bubble,NetFlix Original,Comedy,2022,1-Apr-22,2 h 6 min,English
Cobalt Blue,NetFlix Original,Romantic drama,2022,2-Apr-22,1 h 52 min,Hindi
Dancing on Glass,NetFlix Original,Drama,2022,8-Apr-22,2 h 19 min,Spanish
Metal Lords,NetFlix Original,Musical comedy drama,2022,8-Apr-22,1 h 38 min,English
Yaksha: Ruthless Operations,NetFlix Original,Spy,2022,8-Apr-22,2 h 5 min,Korean
The Taming of the Shrewd,NetFlix Original,Comedy,2022,13-Apr-22,1 h 52 min,Polish
Choose or Die,NetFlix Original,Horror,2022,15-Apr-22,1 h 25 min,English
Man of God,NetFlix Original,Drama,2022,16-Apr-22,1 h 51 min,English
The Turning Point,NetFlix Original,Drama,2022,20-Apr-22,1 h 30 min,Italian
365 Days: This Day,NetFlix Original,Erotic thriller,2022,27-Apr-22,1 h 51 min,English
Silverton Siege,NetFlix Original,Action thriller,2022,27-Apr-22,1 h 41 min,English
Bubble,NetFlix Original,Anime,2022,28-Apr-22,1 h 41 min,Japanese
Honeymoon with My Mother,NetFlix Original,Comedy,2022,29-Apr-22,1 h 50 min,Spanish
Rumspringa – An Amish in Berlin,NetFlix Original,Comedy,2022,29-Apr-22,1 h 42 min,German
Along for the Ride,NetFlix Original,Drama,2022,6-May-22,1 h 47 min,English
The Takedown,NetFlix Original,Action comedy,2022,6-May-22,2 h 1 min,French
Thar,NetFlix Original,Western thriller,2022,6-May-22,1 h 48 min,Hindi
Senior Year,NetFlix Original,Comedy,2022,13-May-22,1 h 53 min,English
Toscana,NetFlix Original,Drama,2022,18-May-22,1 h 30 min,Danish
A Perfect Pairing,NetFlix Original,Romantic comedy,2022,19-May-22,1 h 42 min,English
F*ck Love Too,NetFlix Original,Comedy,2022,20-May-22,1 h 32 min,Dutch
Godspeed,NetFlix Original,Drama,2022,23-May-22,1 h 59 min,Turkish
Interceptor,NetFlix Original,Action drama,2022,3-Jun-22,1 h 38 min,English
Hustle,NetFlix Original,Sports,2022,8-Jun-22,1 h 58 min,English
Trees of Peace,NetFlix Original,Drama,2022,10-Jun-22,1 h 38 min,English
Centauro,NetFlix Original,Action thriller,2022,15-Jun-22,1 h 30 min,Spanish
Heart Parade,NetFlix Original,Romantic comedy,2022,15-Jun-22,1 h 48 min,Polish
The Wrath of God,NetFlix Original,Thriller,2022,15-Jun-22,1 h 38 min,Spanish
Spiderhead,NetFlix Original,Science fiction action thriller,2022,17-Jun-22,1 h 47 min,English
Doom of Love,NetFlix Original,Drama,2022,20-Jun-22,1 h 40 min,Turkish
Love & Gelato,NetFlix Original,Romance,2022,22-Jun-22,1 h 52 min,English
Blasted,NetFlix Original,Science fiction / comedy,2022,28-Jun-22,1 h 55 min,Norwegian
Beauty,NetFlix Original,Drama,2022,29-Jun-22,1 h 35 min,English
"Hello, Goodbye, and Everything in Between",NetFlix Original,Romantic comedy,2022,6-Jul-22,1 h 24 min,English
Dangerous Liaisons,NetFlix Original,Romantic drama,2022,8-Jul-22,1 h 49 min,French
Jewel,NetFlix Original,Drama,2022,8-Jul-22,1 h 20 min,English
The Sea Beast,NetFlix Original,Animated adventure,2022,8-Jul-22,1 h 59 min,English
For Jojo,NetFlix Original,Drama,2022,11-Jul-22,1 h 30 min,German
Under the Amalfi Sun,NetFlix Original,Comedy drama,2022,13-Jul-22,1 h 30 min,Italian
Love Goals,NetFlix Original,Comedy,2022,15-Jul-22,2 h 47 min,Hindi
Persuasion,NetFlix Original,Drama,2022,15-Jul-22,1 h 49 min,English
The Gray Man,NetFlix Original,Spy thriller,2022,22-Jul-22,2 h 9 min,English
Recurrence,NetFlix Original,Thriller,2022,27-Jul-22,1 h 56 min,Spanish
A Cut Above,NetFlix Original,Comedy,2022,28-Jul-22,1 h 31 min,Portuguese
The Entitled,NetFlix Original,Romantic comedy,2022,29-Jul-22,1 h 30 min,Filipino
Purple Hearts,NetFlix Original,Romance,2022,29-Jul-22,2 h 2 min,English
Buba,NetFlix Original,Comedy,2022,3-Aug-22,1 h 34 min,German
Don't Blame Karma!,NetFlix Original,Romantic comedy,2022,3-Aug-22,1 h 25 min,Spanish
Wedding Season,NetFlix Original,Comedy,2022,4-Aug-22,1 h 37 min,English
Carter,NetFlix Original,Action,2022,5-Aug-22,2 h 14 min,Korean
Darlings,NetFlix Original,Comedy drama,2022,5-Aug-22,2 h 14 min,Hindi
Rise of the Teenage Mutant Ninja Turtles: The Movie,NetFlix Original,Animated action-adventure,2022,5-Aug-22,1 h 22 min,English
Heartsong,NetFlix Original,Romantic comedy,2022,10-Aug-22,1 h 35 min,Turkish
13: The Musical,NetFlix Original,Musical,2022,12-Aug-22,1 h 34 min,English
Day Shift,NetFlix Original,Fantasy comedy,2022,12-Aug-22,1 h 53 min,English
Look Both Ways,NetFlix Original,Romantic comedy,2022,17-Aug-22,1 h 51 min,English
Royalteen,NetFlix Original,Coming-of-age,2022,17-Aug-22,1 h 48 min,Norwegian
The Next 365 Days,NetFlix Original,Erotic thriller,2022,19-Aug-22,1 h 53 min,English
That's Amor,NetFlix Original,Romantic comedy,2022,25-Aug-22,1 h 36 min,English
Loving Adults,NetFlix Original,Thriller,2022,26-Aug-22,1 h 45 min,Danish
Me Time,NetFlix Original,Comedy,2022,26-Aug-22,1 h 44 min,English
Seoul Vibe,NetFlix Original,Action,2022,26-Aug-22,2 h 20 min,Korean
I Came By,NetFlix Original,Thriller,2022,31-Aug-22,1 h 50 min,English
Fenced in,NetFlix Original,Comedy,2022,1-Sep-22,1 h 50 min,Portuguese
Love in the Villa,NetFlix Original,Romantic comedy,2022,1-Sep-22,1 h 55 min,English
The Festival of Troubadours,NetFlix Original,Drama,2022,2-Sep-22,1 h 42 min,Turkish
End of the Road,NetFlix Original,Crime thriller,2022,9-Sep-22,1 h 31 min,English
No Limit,NetFlix Original,Thriller,2022,9-Sep-22,1 h 58 min,French
Broad Peak,NetFlix Original,Thriller,2022,14-Sep-22,1 h 42 min,Polish
Do Revenge,NetFlix Original,Black comedy,2022,16-Sep-22,1 h 58 min,English
Drifting Home,NetFlix Original,Anime,2022,16-Sep-22,2 h,Japanese
I Used to Be Famous,NetFlix Original,Musical drama,2022,16-Sep-22,1 h 44 min,English
Jogi,NetFlix Original,Drama,2022,16-Sep-22,1 h 56 min,Hindi
The Perfumier,NetFlix Original,Crime drama,2022,21-Sep-22,1 h 36 min,German
A Jazzman's Blues,NetFlix Original,Drama,2022,23-Sep-22,2 h 8 min,English
Lou,NetFlix Original,Thriller,2022,23-Sep-22,1 h 47 min,English
Athena,NetFlix Original,Drama,2022,23-Sep-22,1 h 37 min,French
Blonde,NetFlix Original,Biographical drama,2022,28-Sep-22,2 h 47 min,English
Aníkúlápó,NetFlix Original,Fantasy drama,2022,30-Sep-22,2 h 22 min,Yoruba
Plan A Plan B,NetFlix Original,Romantic comedy,2022,30-Sep-22,1 h 46 min,Hindi
Rainbow,NetFlix Original,Fantasy drama,2022,30-Sep-22,1 h 58 min,Spanish
Jumping from High Places,NetFlix Original,Drama,2022,5-Oct-22,1 h 28 min,Italian
Mr. Harrigan's Phone,NetFlix Original,Horror,2022,5-Oct-22,1 h 46 min,English
Togo,NetFlix Original,Thriller,2022,5-Oct-22,1 h 35 min,Spanish
Doll House,NetFlix Original,Drama,2022,7-Oct-22,1 h 46 min,Filipino
Luckiest Girl Alive,NetFlix Original,Mystery,2022,7-Oct-22,1 h 55 min,English
Old People,NetFlix Original,Horror,2022,7-Oct-22,1 h 41 min,German
Someone Borrowed,NetFlix Original,Romantic comedy,2022,11-Oct-22,1 h 47 min,Portuguese
The Curse of Bridge Hollow,NetFlix Original,Comedy,2022,14-Oct-22,1 h 31 min,English
The School for Good and Evil,NetFlix Original,Children's fantasy,2022,19-Oct-22,2 h 28 min,English
The Stranger,NetFlix Original,Thriller,2022,19-Oct-22,1 h 57 min,English
20th Century Girl,NetFlix Original,Romantic,2022,21-Oct-22,2 h 1 min,Korean
Hellhole,NetFlix Original,Horror,2022,26-Oct-22,1 h 30 min,Polish
Robbing Mussolini,NetFlix Original,Action comedy,2022,26-Oct-22,1 h 30 min,Italian
The Good Nurse,NetFlix Original,Drama,2022,26-Oct-22,2 h 3 min,English
Beyond the Universe,NetFlix Original,Romantic drama,2022,27-Oct-22,2 h 7 min,Portuguese
All Quiet on the Western Front,NetFlix Original,War drama,2022,28-Oct-22,2 h 28 min,German
Cici,NetFlix Original,Drama,2022,28-Oct-22,2 h 31 min,Turkish
Wendell & Wild,NetFlix Original,Stop motion fantasy horror comedy,2022,28-Oct-22,1 h 46 min,English
Wild Is the Wind,NetFlix Original,Crime drama,2022,28-Oct-22,2 h 3 min,English
The Takeover,NetFlix Original,Action / thriller,2022,1-Nov-22,1 h 28 min,Dutch
The Soccer Football Movie,NetFlix Original,Animation,2022,9-Nov-22,1 h 13 min,English
Falling for Christmas,NetFlix Original,Romantic comedy,2022,10-Nov-22,1 h 35 min,English
Lost Bullet 2: Back for More,NetFlix Original,Action,2022,10-Nov-22,1 h 40 min,French
Don't Leave,NetFlix Original,Drama,2022,11-Nov-22,1 h 47 min,Turkish
"Monica, O My Darling",NetFlix Original,Neo-noir comedy thriller,2022,11-Nov-22,2 h 10 min,Hindi
My Father's Dragon,NetFlix Original,Animated fantasy adventure,2022,11-Nov-22,1 h 43 min,English
The Lost Lotteries,NetFlix Original,Comedy,2022,16-Nov-22,1 h 46 min,Thai
The Wonder,NetFlix Original,Psychological drama,2022,16-Nov-22,1 h 49 min,English
Christmas with You,NetFlix Original,Romantic comedy,2022,17-Nov-22,1 h 30 min,English
Slumberland,NetFlix Original,Fantasy adventure,2022,18-Nov-22,2 h,English
Christmas on Mistletoe Farm,NetFlix Original,Comedy,2022,23-Nov-22,1 h 43 min,English
Lesson Plan,NetFlix Original,Crime drama,2022,23-Nov-22,1 h 39 min,Polish
The Swimmers,NetFlix Original,Drama,2022,23-Nov-22,2 h 15 min,English
Who's a Good Boy?,NetFlix Original,Comedy,2022,23-Nov-22,1 h 35 min,Spanish
The Noel Diary,NetFlix Original,Drama,2022,24-Nov-22,1 h 40 min,English
A Man of Action,NetFlix Original,Biopic,2022,30-Nov-22,1 h 51 min,Spanish
Christmas Full of Grace,NetFlix Original,Romantic comedy,2022,30-Nov-22,1 h 45 min,Portuguese
My Name Is Vendetta,NetFlix Original,Thriller,2022,30-Nov-22,1 h 30 min,Italian
Qala,NetFlix Original,Drama,2022,1-Dec-22,1 h 59 min,Hindi
Troll,NetFlix Original,Monster,2022,1-Dec-22,1 h 43 min,Norwegian
Lady Chatterley's Lover,NetFlix Original,Romantic drama,2022,2-Dec-22,2 h 7 min,English
Scrooge: A Christmas Carol,NetFlix Original,Animation,2022,2-Dec-22,1 h 41 min,English
Delivery by Christmas,NetFlix Original,Romantic comedy,2022,6-Dec-22,1 h 40 min,Polish
Burning Patience,NetFlix Original,Drama,2022,7-Dec-22,1 h 30 min,Spanish
The Marriage App,NetFlix Original,Drama,2022,7-Dec-22,1 h 41 min,Spanish
Guillermo del Toro's Pinocchio,NetFlix Original,Stop motion fantasy musical drama,2022,9-Dec-22,1 h 56 min,English
I Believe in Santa,NetFlix Original,Romantic comedy,2022,14-Dec-22,1 h 30 min,English
The Big 4,NetFlix Original,Action comedy,2022,15-Dec-22,2 h 21 min,Indonesian
"Bardo, False Chronicle of a Handful of Truths",NetFlix Original,Comedy,2022,16-Dec-22,2 h 39 min,Spanish
Private Lesson,NetFlix Original,Romantic comedy,2022,16-Dec-22,1 h 29 min,Turkish
A Not So Merry Christmas,NetFlix Original,Comedy,2022,20-Dec-22,1 h 40 min,Spanish
Glass Onion: A Knives Out Mystery,NetFlix Original,Murder mystery,2022,23-Dec-22,2 h 19 min,English
A Night at the Kindergarten,NetFlix Original,Black comedy,2022,28-Dec-22,1 h 37 min,Polish
White Noise,NetFlix Original,Black comedy,2022,30-Dec-22,2 h 16 min,English
